Horodateur,Date,Lieu,Mon deck ?,Gagnant ?
22/07/2025 16:33:22,18/07/2025,Playin Rivoli,Tom Bombadil,N
23/07/2025 11:24:54,22/07/2025,Mauvais Joueurs,Tom Bombadil,Y
23/07/2025 11:25:03,22/07/2025,Mauvais Joueurs,Tom Bombadil,N
23/07/2025 11:25:16,22/07/2025,Mauvais Joueurs,Rocco,N
27/07/2025 21:53:55,27/07/2025,Playin Rivoli,Davros,N
27/07/2025 21:54:08,27/07/2025,Playin Rivoli,Meren,Y
27/07/2025 21:54:30,27/07/2025,Playin Rivoli,Omnath,N
27/07/2025 21:54:40,27/07/2025,Playin Rivoli,Jodah,N
27/07/2025 21:54:59,27/07/2025,Playin Rivoli,Jodah,N
03/08/2025 20:36:36,03/08/2025,Playin Rivoli,Omnath,N
03/08/2025 20:36:52,03/08/2025,Playin Rivoli,Omnath,N
03/08/2025 20:37:13,03/08/2025,Playin Rivoli,Captain America,N
10/08/2025 20:21:45,10/08/2025,Playin Rivoli,Eowyn,N
10/08/2025 20:21:59,10/08/2025,Playin Rivoli,Tom Bombadil,N
11/08/2025 23:27:37,11/08/2025,Playin Rivoli,Eowyn,Y
11/08/2025 23:27:48,11/08/2025,Playin Rivoli,Tom Bombadil,N
11/08/2025 23:27:58,11/08/2025,Playin Rivoli,Omnath,Y
13/08/2025 23:03:45,13/08/2025,Playin BNF,Amalia,N
13/08/2025 23:05:03,13/08/2025,Playin BNF,Choco,Y
13/08/2025 23:05:16,13/08/2025,Playin BNF,Eowyn,N
17/08/2025 22:35:47,17/08/2025,Playin Rivoli,Amalia,Y
17/08/2025 22:36:11,17/08/2025,Playin Rivoli,Meren,Y
17/08/2025 22:36:30,17/08/2025,Playin Rivoli,Rocco,Y
20/08/2025 23:23:42,20/08/2025,Playin BNF,Eowyn,N
20/08/2025 23:24:18,20/08/2025,Playin BNF,Meren,Y
25/08/2025 22:34:58,25/08/2025,Playin Rivoli,Eleven / Will,Y
25/08/2025 22:35:12,25/08/2025,Playin Rivoli,Ruhan,N
25/08/2025 22:35:36,25/08/2025,Playin Rivoli,Osgir,N
31/08/2025 00:42:49,30/08/2025,Playin Rivoli,Greven,Y
31/08/2025 00:43:10,30/08/2025,Playin Rivoli,Terra,N
31/08/2025 00:43:40,30/08/2025,Playin Rivoli,Davros,N
14/09/2025 17:40:28,14/09/2025,@Joël,Terra,N
14/09/2025 17:40:43,14/09/2025,@Joël,Shadow,N
06/10/2025 13:36:51,05/10/2025,Playin Rivoli,Choco,N
06/10/2025 13:37:03,05/10/2025,Playin Rivoli,Pako / Haldan,Y
06/10/2025 13:37:29,05/10/2025,Playin Rivoli,Jodah,N
26/10/2025 23:59:43,26/10/2025,Playin Rivoli,Terra,N
27/10/2025 00:00:02,26/10/2025,Playin Rivoli,Eowyn,Y
27/10/2025 00:00:17,26/10/2025,Playin Rivoli,Eowyn,N
27/10/2025 00:00:29,26/10/2025,Playin Rivoli,Meren,Y
09/11/2025 21:35:22,09/11/2025,Playin Rivoli,Omnath,Y
09/11/2025 21:35:33,09/11/2025,Playin Rivoli,Osgir,N
09/11/2025 21:36:40,09/11/2025,Playin Rivoli,Rocco,N
03/12/2025 11:24:18,30/11/2025,Playin Rivoli,Terra,N
03/12/2025 11:24:40,30/11/2025,Playin Rivoli,Bumbleflower,Y
14/12/2025 20:00:53,14/12/2025,@Joël,Terra,Y
14/12/2025 20:01:06,14/12/2025,@Joël,Choco,Y
21/12/2025 19:47:23,21/12/2025,Playin Rivoli,Abdel Adrian,Y
21/12/2025 19:47:58,21/12/2025,Playin BNF,Eowyn,Y
21/12/2025 19:49:24,21/12/2025,Playin Rivoli,Bumbleflower,N
21/12/2025 19:49:36,21/12/2025,Playin Rivoli,Rocco,Y
23/12/2025 22:54:19,23/12/2025,Mauvais Joueurs,Greven,N
23/12/2025 22:54:44,23/12/2025,Mauvais Joueurs,Greven,N
23/12/2025 22:54:53,23/12/2025,Mauvais Joueurs,Yuriko,Y
