Horodateur,Date,Lieu,Mon deck ?,Gagnant ?
09/01/2025 23:31:57,07/01/2025,Mauvais Joueurs,Pako / Haldan,N
09/01/2025 23:32:08,07/01/2025,Mauvais Joueurs,Shroofus,N
11/01/2025 19:55:44,11/01/2025,@Joël,Captain America,Y
11/01/2025 21:00:35,11/01/2025,@Joël,Eleven / Will,N
11/01/2025 23:11:29,11/01/2025,@Joël,Yuriko,N
23/02/2025 17:38:56,23/02/2025,Playin Rivoli,Captain America,N
23/02/2025 19:22:30,23/02/2025,Playin Rivoli,Shroofus,Y
23/02/2025 19:22:57,23/02/2025,Playin Rivoli,Meren,N
03/03/2025 19:53:07,03/03/2025,Playin Rivoli,Eowyn,N
03/03/2025 22:57:37,03/03/2025,Playin Rivoli,Meren,N
03/03/2025 22:57:59,03/03/2025,Playin Rivoli,Jodah,N
03/03/2025 22:58:12,03/03/2025,Playin Rivoli,Etali,N
09/03/2025 20:53:31,09/03/2025,Playin Rivoli,Amalia,N
09/03/2025 20:53:52,09/03/2025,Playin Rivoli,Marwyn,Y
16/03/2025 23:23:47,16/03/2025,@Joël,Rocco,N
22/04/2025 02:35:58,19/04/2025,Playin Rivoli,Meren,N
22/04/2025 02:36:09,19/04/2025,Playin Rivoli,Eowyn,N
22/04/2025 02:36:25,19/04/2025,Playin Rivoli,Eowyn,N
22/04/2025 02:36:41,19/04/2025,Playin Rivoli,Descent into Avernus,N
27/04/2025 21:23:22,27/04/2025,Playin Rivoli,Jodah,Y
27/04/2025 21:23:39,27/04/2025,Playin Rivoli,Jodah,Y
27/04/2025 21:24:22,27/04/2025,Playin Rivoli,Amalia,Y
27/04/2025 21:24:45,27/04/2025,Playin Rivoli,Laezel,N
04/05/2025 19:48:52,04/05/2025,Playin Rivoli,Meren,N
04/05/2025 19:49:26,04/05/2025,Playin Rivoli,Tom Bombadil,Y
04/05/2025 19:49:40,04/05/2025,Playin Rivoli,Ruhan,N
17/06/2025 15:57:50,15/06/2025,@Joël,Amalia,N
17/06/2025 15:58:05,15/06/2025,@Joël,Davros,Y
17/06/2025 15:58:20,15/06/2025,@Joël,Captain America,N
21/06/2025 22:33:29,21/06/2025,Playin BNF,Amalia,N
21/06/2025 22:34:04,21/06/2025,Playin BNF,Meren,N
21/06/2025 22:34:32,21/06/2025,Playin BNF,Rocco,Y
21/06/2025 22:35:06,21/06/2025,Playin BNF,Laezel,Y
02/07/2025 21:24:46,02/07/2025,Playin BNF,Choco,Y
02/07/2025 21:24:46,02/07/2025,Playin BNF,Choco,Y
02/07/2025 21:24:46,02/07/2025,Playin BNF,Tom Bombadil,N
02/07/2025 21:24:46,02/07/2025,Playin BNF,Tom Bombadil,Y
10/07/2025 00:46:20,02/07/2025,Playin BNF,Choco,N
10/07/2025 00:46:31,10/07/2025,Playin BNF,Tom Bombadil,N
10/07/2025 00:46:43,10/07/2025,Playin BNF,Tom Bombadil,N
10/07/2025 00:46:57,10/07/2025,Playin BNF,Jodah,N
22/07/2025 16:32:52,19/07/2025,Playin Rivoli,Choco,Y
22/07/2025 16:33:11,19/07/2025,Playin Rivoli,Tom Bombadil,N
