Horodateur,Date,Lieu,Mon deck ?,Gagnant ?
24/11/2024,24/11/2024,Mauvais Joueurs,Shroofus,N
24/11/2024,24/11/2024,Mauvais Joueurs,Jodah,N
24/11/2024,24/11/2024,Mauvais Joueurs,Abdel Adrian,N
24/11/2024,24/11/2024,Mauvais Joueurs,Etali,Y
24/11/2024,24/11/2024,Mauvais Joueurs,Abdel Adrian,N
22/12/2024,22/12/2024,Chez Joël,Captain America,N
22/12/2024,22/12/2024,Chez Joël,Kenrith,N
22/12/2024,22/12/2024,Chez Joël,Omnath,Y
30/12/2024 21:25:49,29/12/2024,Playin Rivoli,Captain America,N
30/12/2024 21:26:25,29/12/2024,Playin Rivoli,Abdel Adrian,Y
30/12/2024 21:27:07,29/12/2024,Playin Rivoli,Rocco,N
